TOP OVERALL SCORES (GRADE 7-12)

Rank, Project Number, Grade, Avg Score, Category, Number of judges
147,120,10,23.666666666666668,Physics/Math,3
148,60,9,23.333333333333332,Chemistry,3
149,129,9,23.0,Physics/Math,3
150,134,9,22.666666666666668,Physics/Math,3
151,108,9,22.666666666666668,Physics/Math,3
152,109,9,22.5,Physics/Math,2
153,162,11,22.333333333333332,Biology,3
154,125,9,22.333333333333332,Physics/Math,3
155,131,9,22.0,Physics/Math,3
156,121,9,21.666666666666668,Physics/Math,3
157,118,9,21.0,Physics/Math,3
158,112,9,20.0,Physics/Math,3
159,1406,8,16.0,Physics/Math,1
160,114,9,15.333333333333334,Physics/Math,3
161,13,9,14.0,Biology,1
162,106,8,14.0,Physics/Math,1
TOP OVERALL SCORES MIDDLE SCHOOL(GRADE 7 & 8)

Rank, Project Number, Grade, Avg Score, Category, Number of judges
1,46,8,49.0,Biology,3
2,69,8,44.5,Chemistry,4
3,91,8,42.5,Energy-Engineering-Geology-Envi,2
4,1,8,41.666666666666664,Biology,3
5,5,7,40.666666666666664,Biology,3
6,64,8,36.666666666666664,Chemistry,3
7,4,8,36.0,Biology,3
8,136,7,33.333333333333336,Social Sciences,3
9,20,8,33.0,Biology,3
10,141,8,33.0,Social Sciences,2
11,79,7,30.0,Energy-Engineering-Geology-Envi,3
12,107,7,24.666666666666668,Physics/Math,3
13,1406,8,16.0,Physics/Math,1
14,106,8,14.0,Physics/Math,1
TOP 5 PHYSICS/MATH SCORES

Rank, Project Number, Grade, Avg Score, Number of judges
1,128,10,49.0,3
2,133,10,45.0,3
3,122,10,32.666666666666664,3
4,115,10,32.5,2
5,15,10,32.5,4
TOP 5 BIOLOGY SCORES

Rank, Project Number, Grade, Avg Score, Number of judges
1,46,8,49.0,3
2,33,12,47.5,4
3,167,11,47.333333333333336,3
4,2,12,47.333333333333336,3
5,34,12,46.0,2
TOP 5 CHEMISTRY SCORES

Rank, Project Number, Grade, Avg Score, Number of judges
1,69,8,44.5,4
2,76,9,44.0,3
3,68,10,42.0,3
4,73,9,39.0,1
5,67,9,38.333333333333336,3
TOP 5 SOCIAL SCIENCES SCORES

Rank, Project Number, Grade, Avg Score, Number of judges
1,146,10,44.25,4
2,147,11,42.0,3
3,152,9,42.0,3
4,143,10,41.666666666666664,3
5,138,10,39.0,4
TOP 5 Energy-Engineering-Geology-Envi SCORES

Rank, Project Number, Grade, Avg Score, Number of judges
1,99,11,45.5,2
2,103,10,44.666666666666664,3
3,102,10,43.0,3
4,91,8,42.5,2
5,89,12,42.333333333333336,3
